problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
145,DNF,4.766649750766927,76.85397901050001,4.766649750766927,76.85397901050001,72.08732925973308,True,87,21,,,2,19,d1,d1,True
146,BFS,273.53156101981983,255.1046442901629,255.1046442901629,273.53156101981983,18.426916729656938,True,208,52,d2,True,50,47,d2,d2,True
146,DFS,273.53156101981983,255.1046442901629,255.1046442901629,273.53156101981983,18.426916729656938,True,203,50,d1,False,50,47,d2,d2,True
146,CheapestFirst,273.53156101981983,255.1046442901629,255.1046442901629,273.53156101981983,18.426916729656938,True,208,52,d2,True,50,47,d2,d2,True
146,DNF,273.53156101981983,255.1046442901629,255.1046442901629,273.53156101981983,18.426916729656938,True,391,97,,,50,47,d2,d2,True
147,BFS,203.65558781946373,325.29400763802255,203.65558781946373,325.29400763802255,121.63841981855882,True,264,66,d1,True,40,63,d1,d1,True
147,DFS,203.65558781946373,325.29400763802255,203.65558781946373,325.29400763802255,121.63841981855882,True,163,40,d1,True,40,63,d1,d1,True
147,CheapestFirst,203.65558781946373,325.29400763802255,203.65558781946373,325.29400763802255,121.63841981855882,True,264,66,d1,True,40,63,d1,d1,True
147,DNF,203.65558781946373,325.29400763802255,203.65558781946373,325.29400763802255,121.63841981855882,True,415,103,,,40,63,d1,d1,True
148,BFS,337.5289659322485,462.4864420563561,337.5289659322485,462.4864420563561,124.95747612410759,True,348,87,d1,True,60,83,d1,d1,True
148,DFS,337.5289659322485,462.4864420563561,337.5289659322485,462.4864420563561,124.95747612410759,True,243,60,d1,True,60,83,d1,d1,True
148,CheapestFirst,337.5289659322485,462.4864420563561,337.5289659322485,462.4864420563561,124.95747612410759,True,348,87,d1,True,60,83,d1,d1,True
148,DNF,337.5289659322485,462.4864420563561,337.5289659322485,462.4864420563561,124.95747612410759,True,579,144,,,60,83,d1,d1,True
149,BFS,201.26423809823228,497.956124103561,201.26423809823228,497.956124103561,296.69188600532874,True,283,70,d1,True,35,84,d1,d1,True
149,DFS,201.26423809823228,497.956124103561,201.26423809823228,497.956124103561,296.69188600532874,True,143,35,d1,True,35,84,d1,d1,True
149,CheapestFirst,201.26423809823228,497.956124103561,201.26423809823228,497.956124103561,296.69188600532874,True,283,70,d1,True,35,84,d1,d1,True
149,DNF,201.26423809823228,497.956124103561,201.26423809823228,497.956124103561,296.69188600532874,True,479,119,,,35,84,d1,d1,True
150,BFS,167.97388556838357,129.06375665807303,129.06375665807303,167.97388556838357,38.91012891031053,True,152,38,d2,True,35,27,d2,d2,True
150,DFS,167.97388556838357,129.06375665807303,129.06375665807303,167.97388556838357,38.91012891031053,True,143,35,d1,False,35,27,d2,d2,True
150,CheapestFirst,167.97388556838357,129.06375665807303,129.06375665807303,167.97388556838357,38.91012891031053,True,152,38,d2,True,35,27,d2,d2,True
150,DNF,167.97388556838357,129.06375665807303,129.06375665807303,167.97388556838357,38.91012891031053,True,251,62,,,35,27,d2,d2,True
151,BFS,165.7482565111641,354.63850954190525,165.7482565111641,354.63850954190525,188.89025303074115,True,267,66,d1,True,33,65,d1,d1,True
151,DFS,165.7482565111641,354.63850954190525,165.7482565111641,354.63850954190525,188.89025303074115,True,135,33,d1,True,33,65,d1,d1,True
151,CheapestFirst,165.7482565111641,354.63850954190525,165.7482565111641,354.63850954190525,188.89025303074115,True,251,62,d1,True,33,65,d1,d1,True
151,DNF,165.7482565111641,354.63850954190525,165.7482565111641,354.63850954190525,188.89025303074115,True,395,98,,,33,65,d1,d1,True
152,BFS,407.7028685399261,64.60756191386132,64.60756191386132,407.7028685399261,343.09530662606477,True,87,21,d2,True,74,11,d2,d2,True
152,DFS,407.7028685399261,64.60756191386132,64.60756191386132,407.7028685399261,343.09530662606477,True,299,74,d1,False,74,11,d2,d2,True
152,CheapestFirst,407.7028685399261,64.60756191386132,64.60756191386132,407.7028685399261,343.09530662606477,True,87,21,d2,True,74,11,d2,d2,True
152,DNF,407.7028685399261,64.60756191386132,64.60756191386132,407.7028685399261,343.09530662606477,True,343,85,,,74,11,d2,d2,True
153,BFS,336.43025450525454,3.8154895715257067,3.8154895715257067,336.43025450525454,332.61476493372885,True,11,2,d2,True,67,1,d2,d2,True
153,DFS,336.43025450525454,3.8154895715257067,3.8154895715257067,336.43025450525454,332.61476493372885,True,271,67,d1,False,67,1,d2,d2,True
153,CheapestFirst,336.43025450525454,3.8154895715257067,3.8154895715257067,336.43025450525454,332.61476493372885,True,11,2,d2,True,67,1,d2,d2,True
153,DNF,336.43025450525454,3.8154895715257067,3.8154895715257067,336.43025450525454,332.61476493372885,True,275,68,,,67,1,d2,d2,True
154,BFS,484.2565730603294,273.52532115323396,273.52532115323396,484.2565730603294,210.73125190709544,True,375,93,d2,True,94,47,d2,d2,True
154,DFS,484.2565730603294,273.52532115323396,273.52532115323396,484.2565730603294,210.73125190709544,True,379,94,d1,False,94,47,d2,d2,True
154,CheapestFirst,484.2565730603294,273.52532115323396,273.52532115323396,484.2565730603294,210.73125190709544,True,388,97,d2,True,94,47,d2,d2,True
154,DNF,484.2565730603294,273.52532115323396,273.52532115323396,484.2565730603294,210.73125190709544,True,567,141,,,94,47,d2,d2,True
155,BFS,177.76923019739377,243.6990855257149,177.76923019739377,243.6990855257149,65.92985532832114,True,196,49,d1,True,31,45,d1,d1,True
155,DFS,177.76923019739377,243.6990855257149,177.76923019739377,243.6990855257149,65.92985532832114,True,127,31,d1,True,31,45,d1,d1,True
155,CheapestFirst,177.76923019739377,243.6990855257149,177.76923019739377,243.6990855257149,65.92985532832114,True,196,49,d1,True,31,45,d1,d1,True
155,DNF,177.76923019739377,243.6990855257149,177.76923019739377,243.6990855257149,65.92985532832114,True,307,76,,,31,45,d1,d1,True
156,BFS,269.33144668829686,216.72982937652608,216.72982937652608,269.33144668829686,52.60161731177078,True,200,50,d2,True,46,36,d2,d2,True
156,DFS,269.33144668829686,216.72982937652608,216.72982937652608,269.33144668829686,52.60161731177078,True,187,46,d1,False,46,36,d2,d2,True
156,CheapestFirst,269.33144668829686,216.72982937652608,216.72982937652608,269.33144668829686,52.60161731177078,True,200,50,d2,True,46,36,d2,d2,True
156,DNF,269.33144668829686,216.72982937652608,216.72982937652608,269.33144668829686,52.60161731177078,True,331,82,,,46,36,d2,d2,True
