problem_id,arm,dist1,dist2,min,max,spread,solved,node_count,expansions,disjunct_reached,picked_cheapest,hops1,hops2,cheaper_by_cost,cheaper_by_hops,agree
389,DFS,8577.245088937976,7.1263488736773475,7.1263488736773475,8577.245088937976,8570.1187400643,True,315,78,d1,False,78,1,d2,d2,True
389,CheapestFirst,8577.245088937976,7.1263488736773475,7.1263488736773475,8577.245088937976,8570.1187400643,True,11,2,d2,True,78,1,d2,d2,True
389,DNF,8577.245088937976,7.1263488736773475,7.1263488736773475,8577.245088937976,8570.1187400643,True,319,79,,,78,1,d2,d2,True
390,BFS,10733.329734180967,5377.839994372929,5377.839994372929,10733.329734180967,5355.4897398080375,True,380,95,d2,True,91,59,d2,d2,True
390,DFS,10733.329734180967,5377.839994372929,5377.839994372929,10733.329734180967,5355.4897398080375,True,367,91,d1,False,91,59,d2,d2,True
390,CheapestFirst,10733.329734180967,5377.839994372929,5377.839994372929,10733.329734180967,5355.4897398080375,True,351,87,d2,True,91,59,d2,d2,True
390,DNF,10733.329734180967,5377.839994372929,5377.839994372929,10733.329734180967,5355.4897398080375,True,603,150,,,91,59,d2,d2,True
391,BFS,368.502061199957,5649.120333160468,368.502061199957,5649.120333160468,5280.618271960511,True,75,18,d1,True,9,36,d1,d1,True
391,DFS,368.502061199957,5649.120333160468,368.502061199957,5649.120333160468,5280.618271960511,True,39,9,d1,True,9,36,d1,d1,True
391,CheapestFirst,368.502061199957,5649.120333160468,368.502061199957,5649.120333160468,5280.618271960511,True,43,10,d1,True,9,36,d1,d1,True
391,DNF,368.502061199957,5649.120333160468,368.502061199957,5649.120333160468,5280.618271960511,True,183,45,,,9,36,d1,d1,True
392,BFS,5532.775015038089,8344.65333875283,5532.775015038089,8344.65333875283,2811.878323714742,True,236,59,d1,True,40,56,d1,d1,True
392,DFS,5532.775015038089,8344.65333875283,5532.775015038089,8344.65333875283,2811.878323714742,True,163,40,d1,True,40,56,d1,d1,True
392,CheapestFirst,5532.775015038089,8344.65333875283,5532.775015038089,8344.65333875283,2811.878323714742,True,236,59,d1,True,40,56,d1,d1,True
392,DNF,5532.775015038089,8344.65333875283,5532.775015038089,8344.65333875283,2811.878323714742,True,387,96,,,40,56,d1,d1,True
393,BFS,11658.003543328428,9687.089634356036,9687.089634356036,11658.003543328428,1970.9139089723922,True,392,98,d2,True,95,75,d2,d2,True
393,DFS,11658.003543328428,9687.089634356036,9687.089634356036,11658.003543328428,1970.9139089723922,True,383,95,d1,False,95,75,d2,d2,True
393,CheapestFirst,11658.003543328428,9687.089634356036,9687.089634356036,11658.003543328428,1970.9139089723922,True,392,98,d2,True,95,75,d2,d2,True
393,DNF,11658.003543328428,9687.089634356036,9687.089634356036,11658.003543328428,1970.9139089723922,True,683,170,,,95,75,d2,d2,True
394,BFS,12368.740377702892,10114.48024292421,10114.48024292421,12368.740377702892,2254.260134778682,True,392,98,d2,True,95,73,d2,d2,True
394,DFS,12368.740377702892,10114.48024292421,10114.48024292421,12368.740377702892,2254.260134778682,True,383,95,d1,False,95,73,d2,d2,True
394,CheapestFirst,12368.740377702892,10114.48024292421,10114.48024292421,12368.740377702892,2254.260134778682,True,392,98,d2,True,95,73,d2,d2,True
394,DNF,12368.740377702892,10114.48024292421,10114.48024292421,12368.740377702892,2254.260134778682,True,675,168,,,95,73,d2,d2,True
395,BFS,6921.119594479251,11769.142372539585,6921.119594479251,11769.142372539585,4848.0227780603345,True,296,74,d1,True,43,72,d1,d1,True
395,DFS,6921.119594479251,11769.142372539585,6921.119594479251,11769.142372539585,4848.0227780603345,True,175,43,d1,True,43,72,d1,d1,True
